,Epsilon,Precision,Coverage,Queries
0,0.01,0.056,0.063,410.658
1,0.1,0.0111,0.072,313.5781669
2,1,0,0.054,163.8181192
3,10,0,0.033,248.9897949
4,100,0,0,368.8194302
5,1000,0,0,350.6640106
6,10000,0,0,301.5898
