,Epsilon,Precision,Coverage,Queries
0,0.01,0.089,0.088,410.658
1,0.1,0.071,0.035,313.5781669
2,1,0.03,0.025,163.8181192
3,10,0.09,0.047,248.9897949
4,100,0.012,0.079,368.8194302
5,1000,0.084,0.065,350.6640106
6,10000,0.05,0.019,301.5898
