,Epsilon,Precision,Coverage,Queries
0,0.01,0.689,0.502,1438
1,0.1,0.733,0.799,2200
2,1,0.8001,0.91,3001
3,10,0.891,1,3561
4,100,0.956,1,3450
5,1000,1,1,3345
6,10000,1,1,3345
