,Epsilon,Precision,Coverage,Queries
0,0.01,0.061,0.087,410.658
1,0.1,0.054,0.014,313.5781669
2,1,0.017,0.013,163.8181192
3,10,0.031,0.078,248.9897949
4,100,0.063,0.011,368.8194302
5,1000,0.067,0.024,350.6640106
6,10000,0.046,0.021,301.5898
