,Epsilon,Precision,Coverage,Queries
0,0.01,0.577,0.563,1438
1,0.1,0.65,0.84,2200
2,1,0.705,0.99,3001
3,10,0.853,1,3561
4,100,0.912,1,3450
5,1000,0.99,1,3345
6,10000,1,1,3345
