,Epsilon,Precision,Coverage,Queries
0,0.01,0.023,0.036,410.658
1,0.1,0.03,0.085,313.5781669
2,1,0.048,0.029,163.8181192
3,10,0.013,0.017,248.9897949
4,100,0.093,0.092,368.8194302
5,1000,0.064,0.054,350.6640106
6,10000,0.075,0.083,301.5898
