,Epsilon,Precision,Coverage,Queries
0,0.01,0.785,0.396,1438
1,0.1,0.842,0.722,2200
2,1,0.954,0.861,3001
3,10,0.97,1,3561
4,100,1,1,3450
5,1000,1,1,3345
6,10000,1,1,3345
