,Epsilon,Precision,Coverage,Queries
0,0.01,0.016,0.02,410.658
1,0.1,0.012,0.012,313.5781669
2,1,0.035,0.048,163.8181192
3,10,0.029,0.097,248.9897949
4,100,0.034,0.045,368.8194302
5,1000,0.078,0.086,350.6640106
6,10000,0.073,0.088,301.5898
