,Epsilon,Precision,Coverage,Queries
0,0.01,1,0.03,492
1,0.1,1,0.09,720
2,1,1,0.52,842
3,10,1,0.67,1104
4,100,1,0.85,4615
5,1000,1,0.96,4791
6,10000,1,1,4620
