,Epsilon,Precision,Coverage,Queries
0,0.01,0.021,0.019,90
1,0.1,0.051,0.042,113.5781669
2,1,0.085,0.087,263.8181192
3,10,0.018,0.034,48.9897949
4,100,0.015,0.019,168.8194302
5,1000,0.079,0.091,334.6640106
6,10000,0.06,0.039,199.8
