,Epsilon,Precision,Coverage
0,0.01,0.041,0.031
1,0.1,0.06,0.058
2,1,0.01,0.089
3,10,0.07,0.043
4,100,0.027,0.021
5,1000,0.056,0.053
6,10000,0.08,0.034
