,Epsilon,Precision,Coverage
0,0.01,0.012,0.086
1,0.1,0.095,0.027
2,1,0.052,0.043
3,10,0.052,0.047
4,100,0.079,0.077
5,1000,0.024,0.034
6,10000,0.093,0.074
