,Queries,Precision,Accuracy,Patient Precision,Patient Accuracy
0,10000,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
1,9000,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
2,8000,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
3,7000,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
4,6000,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
5,5000,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
6,4000,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
7,3000,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
8,2000,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
9,1000,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
