,Epsilon,Accuracy,F1,Accuracy Std,F1 Std
0,0.01,0.51,0.588,0.02,0.017
1,0.1,0.53,0.601,0.067,0.058
2,1,0.612,0.68,0.031,0.025
3,10,0.643,0.72,0.078,0.085
4,100,0.71,0.759,0.031,0.058
5,1000,0.75,0.805,0.043,0.017
6,10000,0.788,0.81,0.048,0.099
