,Epsilon,Total Client Rules,Found Rules,Non Rules,Precision,Coverage,Queries
0,0.01,266,3.333333333,0,0.63,0.007518797,3422
1,0.1,266,2,0,0.666666667,0.012531328,3414.666667
2,1,266,1.666666667,0,0.766666667,0.06265664,3421.333333
3,10,266,2.333333333,0,0.9444,0.2877193,3419.666667
4,100,266,2.666666667,0,1,0.510025063,3419
5,1000,266,4.333333333,0,1,0.716290727,3417.666667
6,10000,266,232,0,1,0.872180451,3345
