,Epsilon,Total Client Rules,Found Rules,Non Rules,Precision,Coverage,Queries
0,0.01,880,11,0,0.668,0.0115,3073
1,0.1,880,10.33333333,0,0.711,0.011742424,3073
2,1,880,10.66666667,0,0.745,0.012121212,3073
3,10,880,11.33333333,0,0.889,0.2877,3073
4,100,880,9,0,0.96,0.3012,3073
5,1000,880,13.33333333,0,0.99,0.3999,3073
6,10000,880,200.3333333,0,1,0.4556,3085
