,Epsilon,Accuracy,F1,Accuracy Std,F1 Std
0,0.01,0.5,0.5,0.028,0.071
1,0.1,0.5,0.506,0.08,0.054
2,1,0.5,0.514,0.031,0.034
3,10,0.538,0.589,0.012,0.014
4,100,0.577,0.603,0.064,0.014
5,1000,0.633,0.664,0.082,0.06
6,10000,0.677,0.689,0.037,0.083
