,Non Rules
0,"((Pulse < 0.000) U[0,0] (n_evts = 0.000))"
1,"G[0,0]((Mort > 0.000 | LOS = 0.000))"
2,"((LOS = 0.000) U[0,0] (LOS > 0.000))"
3,"((LOS = 0.000) U[0,0] (Mort > 0.000))"
