,Epsilon,Total Client Rules,Found Rules,Non Rules,Precision,Coverage,Queries
0,0.01,0,0.577350269,0,0.013,0.043,1.154700538
1,0.1,0,1.527525232,0,0.091,0.013,0
2,1,0,0.577350269,0,0.058,0.02,1.154700538
3,10,0,0.577350269,0,0.059,0.079,0
4,100,0,2.081665999,0,0.083,0.012,1.154700538
5,1000,0,2.081665999,0,0.013,0.068,0
6,10000,0,8.504900548,0,0.099,0.061,0
