,Epsilon,Total Client Rules,Found Rules,Non Rules,Precision,Coverage,Queries
0,0.01,880,7.333333333,0,0.521,0.01233,672.3333333
1,0.1,880,7.666666667,0,0.59,0.01233,673
2,1,880,7.333333333,0,0.689,0.01333,672.3333333
3,10,880,8.333333333,0,0.8,0.3469697,673
4,100,880,8.666666667,0,0.844,0.3984845,672.3333333
5,1000,880,18.33333333,0,0.9001,0.4233333,673
6,10000,880,397.6666667,0,1,0.4893939,672
