,Epsilon,Accuracy,F1,Accuracy Std,F1 Std
0,0.01,0.5,0.502,0.049,0.036
1,0.1,0.5,0.54,0.021,0.056
2,1,0.5,0.567,0.023,0.058
3,10,0.587,0.624,0.04,0.061
4,100,0.61,0.65,0.038,0.041
5,1000,0.653,0.683,0.042,0.072
6,10000,0.69,0.71,0.028,0.034
