,Cp,Lambda,Epsilon,Precision,Accuracy,Patient Precision,Patient Accuracy,Precision Std,Accuracy Std,Patient Precision Std,Patient Accuracy Std
0,basic,1,1000,0.8683953033268103,0.8698630136986302,0.8999999999999999,0.9112588923151117,0.017297132612195423,0.019372788525658862,0.03142696805273544,0.03142696805273549
1,basic,1,1,0.8492233775283783,0.8093607305936072,0.8333333333333334,0.8414534418698265,0.009816064868757536,0.06619036079600103,0.136986977843755,0.14107142884425178
2,basic,0-1,1000,0.8681387106044641,0.8698630136986302,0.8333333333333334,0.8445922256484452,0.008467127852123647,0.009686394262829405,0.12570787221094182,0.12570787221094182
3,basic,0-1,1,0.8972159915556143,0.9006849315068494,0.8555555555555555,0.8668144478706674,0.03265435722592579,0.033902379919903,0.09428090415820638,0.09428090415820638
4,beta,1,1000,0.8561643835616438,0.8561643835616438,0.8999999999999999,0.9112588923151117,0.0,0.0,0.03142696805273544,0.03142696805273549
5,beta,1,1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007,0.0,0.0,0.0,0.0
6,beta,0-1,1000,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373342,0.0,0.0,0.05443310539518172,0.05443310539518177
7,beta,0-1,1,0.5707762557077626,0.6187214611872146,0.6592592592592592,0.6704744108506883,0.40359976095122574,0.3357950011114198,0.46616669278224243,0.4662285515069026
