,Cp,Lambda,Epsilon,Precision,Accuracy,Patient Precision,Patient Accuracy
0,basic,1,1000,0.8928571428571429,0.8972602739726028,0.8555555555555555,0.8668144478706673
1,basic,1,1000,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
2,basic,1,1000,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
3,basic,1,1,0.8353413654618473,0.7157534246575342,0.6555555555555556,0.6573980965348114
4,basic,1,1,0.8561643835616438,0.8561643835616438,0.8555555555555555,0.8668144478706673
5,basic,1,1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
6,basic,0-1,1000,0.8741258741258742,0.8767123287671232,0.9222222222222222,0.9334811145373341
7,basic,0-1,1000,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
8,basic,0-1,1000,0.8741258741258742,0.8767123287671232,0.6555555555555554,0.6668144478706673
9,basic,0-1,1,0.8741258741258742,0.8767123287671232,0.9222222222222222,0.9334811145373341
10,basic,0-1,1,0.8741258741258742,0.8767123287671232,0.9222222222222222,0.9334811145373341
11,basic,0-1,1,0.9433962264150944,0.9486301369863014,0.7222222222222221,0.733481114537334
12,beta,1,1000,0.8561643835616438,0.8561643835616438,0.8555555555555555,0.8668144478706673
13,beta,1,1000,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
14,beta,1,1000,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
15,beta,1,1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
16,beta,1,1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
17,beta,1,1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
18,beta,0-1,1000,0.8561643835616438,0.8561643835616438,0.8555555555555555,0.8668144478706673
19,beta,0-1,1000,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
20,beta,0-1,1000,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
21,beta,0-1,1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
22,beta,0-1,1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
23,beta,0-1,1,0.0,0.14383561643835616,0.0,0.011127670144063588
