,Method,Queries,Epsilon,Total Client Rules,Percentage Found Rules,Found Rules,Non Rules,Rule Precision,Total Client Structures,Percentage Found Structures,Found Structures,Non Structures,Structure Precision
75,eps_Prunebasic,1000,0.01,553,0.0018083182640144665,1,3,0.25,43,0.27906976744186046,12,0,1.0
76,eps_Prunebasic,1000,0.001,553,0.0216998191681736,12,35,0.2553191489361702,43,0.16279069767441862,7,0,1.0
77,eps_Prunezero,1000,1000.0,553,0.0,0,804,0.0,43,0.18604651162790697,8,451,0.017429193899782137
78,eps_Prunezero,1000,100.0,553,0.003616636528028933,2,818,0.0024390243902439024,43,0.18604651162790697,8,463,0.016985138004246284
79,eps_Prunezero,1000,10.0,553,0.0018083182640144665,1,731,0.001366120218579235,43,0.18604651162790697,8,451,0.017429193899782137
80,eps_Prunezero,1000,1.0,553,0.0018083182640144665,1,506,0.0019723865877712033,43,0.18604651162790697,8,320,0.024390243902439025
81,eps_Prunezero,1000,0.1,553,0.0759493670886076,42,1909,0.021527421834956432,43,0.5348837209302325,23,3,0.8846153846153846
82,eps_Prunezero,1000,0.01,553,0.04701627486437613,26,1817,0.01410743353228432,43,0.27906976744186046,12,0,1.0
83,eps_Prunezero,1000,0.001,553,0.0018083182640144665,1,173,0.005747126436781609,43,0.09302325581395349,4,1,0.8
84,eps_Prunesmall,1000,1000.0,553,0.012658227848101266,7,6,0.5384615384615384,43,0.32558139534883723,14,0,1.0
85,eps_Prunesmall,1000,100.0,553,0.0,0,0,0.0,43,0.0,0,0,0.0
86,eps_Prunesmall,1000,10.0,553,0.0,0,1,0.0,43,0.0,0,1,0.0
87,eps_Prunesmall,1000,1.0,553,0.039783001808318265,22,34,0.39285714285714285,43,0.18604651162790697,8,0,1.0
88,eps_Prunesmall,1000,0.1,553,0.009041591320072333,5,18,0.21739130434782608,43,0.16279069767441862,7,0,1.0
89,eps_Prunesmall,1000,0.01,553,0.009041591320072333,5,10,0.3333333333333333,43,0.27906976744186046,12,0,1.0
90,eps_Prunesmall,1000,0.001,553,0.0,0,0,0.0,43,0.0,0,0,0.0
91,eps_Prunebeta,1000,1000.0,553,0.0,0,0,0.0,43,0.0,0,0,0.0
92,eps_Prunebeta,1000,100.0,553,0.0,0,0,0.0,43,0.0,0,0,0.0
93,eps_Prunebeta,1000,10.0,553,0.028933092224231464,16,25,0.3902439024390244,43,0.18604651162790697,8,0,1.0
94,eps_Prunebeta,1000,1.0,553,0.03616636528028933,20,49,0.2898550724637681,43,0.18604651162790697,8,0,1.0
95,eps_Prunebeta,1000,0.1,553,0.06871609403254973,38,59,0.3917525773195876,43,0.18604651162790697,8,0,1.0
96,eps_Prunebeta,1000,0.01,553,0.0018083182640144665,1,2,0.3333333333333333,43,0.13953488372093023,6,0,1.0
97,eps_Prunebeta,1000,0.001,553,0.012658227848101266,7,25,0.21875,43,0.18604651162790697,8,0,1.0
98,eps_PruneactiveClients,1000,1000.0,553,0.003616636528028933,2,818,0.0024390243902439024,43,0.18604651162790697,8,463,0.016985138004246284
99,eps_PruneactiveClients,1000,100.0,553,0.0,0,794,0.0,43,0.18604651162790697,8,463,0.016985138004246284
100,eps_PruneactiveClients,1000,10.0,553,0.0018083182640144665,1,732,0.001364256480218281,43,0.18604651162790697,8,451,0.017429193899782137
101,eps_PruneactiveClients,1000,1.0,553,0.003616636528028933,2,480,0.004149377593360996,43,0.18604651162790697,8,318,0.024539877300613498
102,eps_PruneactiveClients,1000,0.1,553,0.2513562386980108,139,4444,0.030329478507527822,43,0.18604651162790697,8,4,0.6666666666666666
103,eps_PruneactiveClients,1000,0.01,553,0.0,0,0,0.0,43,0.0,0,0,0.0
104,eps_PruneactiveClients,1000,0.001,553,0.0054249547920434,3,168,0.017543859649122806,43,0.16279069767441862,7,0,1.0
