,Epsilon,Precision,Coverage,Queries
0,0.01,0.845,0.0578,1009
1,0.1,0.88,0.0921,1805
2,1,0.897,0.4012,3100
3,10,0.99,0.6035,3400
4,100,1,0.789,5150
5,1000,1,0.887,5100
6,10000,1,1,5050
