,Epsilon,Precision,Coverage,Queries
0,0.01,1,0.629,1009
1,0.1,1,0.775,1805
2,1,1,0.883,3100
3,10,1,0.91,3400
4,100,1,1,5150
5,1000,1,1,5100
6,10000,1,1,5050
