,Epsilon,Precision,Coverage,Queries
0,0.01,0.095,0.033,480
1,0.1,0.026,0.073,401
2,1,0.07,0.084,350
3,10,0.06,0.079,306
4,100,0.058,0.091,348
5,1000,0.014,0.057,365
6,10000,0.017,0.063,320
