,Epsilon,Precision,Coverage,Queries
0,0.01,0.08,0.09,480
1,0.1,0.1,0.049,401
2,1,0.077,0.05,350
3,10,0.086,0.067,306
4,100,0.011,0.033,348
5,1000,0.093,0.087,365
6,10000,0.033,0.072,320
