,Epsilon,Precision,Coverage,Queries
0,0.01,0.867,0.155,1009
1,0.1,0.91,0.199,1805
2,1,0.955,0.61,3100
3,10,1,0.7002,3400
4,100,1,0.956,5150
5,1000,1,0.99,5100
6,10000,1,1,5050
