,Epsilon,Precision,Coverage,Queries
0,0.01,0.046,0.085,480
1,0.1,0.062,0.059,401
2,1,0.1,0.098,350
3,10,0.085,0.069,306
4,100,0.043,0.092,348
5,1000,0.095,0.07,365
6,10000,0.077,0.095,320
