,Epsilon,Precision,Coverage,Queries
0,0.01,0.027,0.014,480
1,0.1,0.064,0.059,401
2,1,0.085,0.05,350
3,10,0.075,0.064,306
4,100,0.035,0.065,348
5,1000,0.097,0.082,365
6,10000,0.029,0.032,320
