,Epsilon,Accuracy,F1,Accuracy Std,F1 Std
0,0.01,0.554,0.581,0.074,0.082
1,0.1,0.575,0.612,0.062,0.092
2,1,0.653,0.689,0.085,0.059
3,10,0.698,0.715,0.015,0.024
4,100,0.804,0.825,0.062,0.087
5,1000,0.877,0.89,0.049,0.084
6,10000,0.89,0.91,0.077,0.067
