,Epsilon,Total Client Rules,Found Rules,Non Rules,Precision,Coverage,Queries
0,0.01,880,7.333333333333333,0,0.55,0.008333333,672.3333333333334
1,0.1,880,7.666666666666667,0,0.61,0.008333333,673
2,1,880,7.333333333333333,0,0.72,0.008712121,672.3333333333334
3,10,880,8.333333333333334,0,0.86,0.29469697,673
4,100,880,8.666666666666666,0,0.89,0.309848485,672.3333333333334
5,1000,880,18.333333333333332,0,0.94,0.320833333,673
6,10000,880,397.6666666666667,0,1,0.451893939,672
