,Non Rules
0,"G[0,0]((ALT_GPT < 0.000 -> LOS = 0.000))"
1,"G[0,0]((CO2 = 0.000 -> LOS = 0.000))"
2,"G[0,0]((Glasgow_Coma_Scale_Total < 0.000 -> LOS = 0.000))"
