,Non Rules
0,"G[0,0]((LOS = 0.000 -> y > 0.000))"
1,"((Mort > 0.000) U[0,0] (AST_GOT = 0.000))"
2,"G[0,0]((ALT_GPT = 0.000 & LOS > 0.000))"
3,"((y = 0.000) U[0,0] (n_evts = 0.000))"
