,Non Rules
0,"G[0,0]((Mort > 0.000 -> lds = 0.000))"
1,"G[0,0]((LOS > 0.000 -> s8_hr = 0.000))"
2,"G[0,0]((LOS > 0.000 -> CO2 < 0.000))"
