,Epsilon,Precision,Coverage,Queries
0,0.01,0.059,0.073,480
1,0.1,0.033,0.03,401
2,1,0.091,0.093,350
3,10,0.023,0.01,306
4,100,0.015,0.079,348
5,1000,0.013,0.057,365
6,10000,0.072,0.099,320
