,Epsilon,Precision,Coverage,Queries
0,0.01,0.035,0.073,480
1,0.1,0.095,0.057,401
2,1,0.091,0.082,350
3,10,0.086,0.048,306
4,100,0.083,0.014,348
5,1000,0.054,0.022,365
6,10000,0.06,0.088,320
