,Epsilon,Precision,Coverage,Queries
0,0.01,0.06,0.074,480
1,0.1,0.079,0.057,401
2,1,0.027,0.084,350
3,10,0.057,0.082,306
4,100,0.086,0.017,348
5,1000,0.061,0.065,365
6,10000,0.045,0.011,320
