,Epsilon,Precision,Coverage,Queries
0,0.01,0.03902747,0.046893033,480
1,0.1,0.03938773,0.049097177,401
2,1,0.0545,0.053103448,350
3,10,0.0456,0.059164885,306
4,100,0.022,0.035,348
5,1000,0,0.02,365
6,10000,0,0,320
