,Epsilon,Precision,Coverage,Queries
0,0.01,0.057,0.016,480
1,0.1,0.026,0.06,401
2,1,0.057,0.053,350
3,10,0.034,0.037,306
4,100,0.047,0.017,348
5,1000,0.019,0.045,365
6,10000,0.082,0.066,320
