,Epsilon,Accuracy,F1,Accuracy Std,F1 Std
0,0.01,0.723,0.71,0.035,0.071
1,0.1,0.774,0.79,0.055,0.046
2,1,0.81,0.85,0.083,0.081
3,10,0.829,0.891,0.046,0.034
4,100,0.831,0.899,0.021,0.025
5,1000,0.831,0.899,0.022,0.021
6,10000,0.831,0.899,0.028,0.024
