,V,Accuracy,F1,Accuracy Std,F1 Std,GT_Accuracy,GT_F1,Base1000Q_Accuracy,Base1000Q_F1,Base1000Q_Accuracy_std,Base1000Q_F1_std,Base5000Q_Accuracy,Base5000Q_F1,Base5000Q_Accuracy_std,Base5000Q_F1_std
0,0.001,0.68,0.735,0.037,0.078,0.712,0.775,0.5,0.609,0.013,0.043,0.612,0.68,0.061,0.044
1,0.01,0.81,0.85,0.083,0.081,0.831,0.899,0.5,0.609,0.061,0.086,0.612,0.68,0.031,0.025
2,0.05,0.81,0.85,0.083,0.081,0.831,0.899,0.5,0.609,0.056,0.024,0.612,0.68,0.053,0.044
3,0.1,0.79,0.83,0.063,0.042,0.811,0.879,0.5,0.609,0.099,0.034,0.612,0.68,0.055,0.028
4,0.5,0.76,0.802,0.081,0.072,0.76,0.802,0.48,0.587,0.014,0.077,0.599,0.63,0.079,0.094
