,Epsilon,Precision,Coverage
0,0.01,0.011,0.055
1,0.1,0.044,0.086
2,1,0.027,0.058
3,10,0.018,0.049
4,100,0.076,0.064
5,1000,0.04,0.043
6,10000,0.035,0.086
