,Epsilon,Precision,Coverage,Queries
0,0.01,0.022902747,0.055,90
1,0.1,0.02938773,0.064,113.5781669
2,1,0.01,0.022,263.8181192
3,10,0,0.063,48.9897949
4,100,0,0.044,168.8194302
5,1000,0,0.087,334.6640106
6,10000,0,0.017,199.8
