,Epsilon,Precision,Coverage
0,0.01,0.093,0.033
1,0.1,0.022,0.06
2,1,0.005,0.039
3,10,0.097,0.011
4,100,0.028,0.069
5,1000,0.034,0.074
6,10000,0.016,0.077
