,Epsilon,Precision,Coverage
0,0.01,0.033,0.027
1,0.1,0.014,0.036
2,1,0.009,0.033
3,10,0.091,0.055
4,100,0.088,0.076
5,1000,0.084,0.02
6,10000,0.082,0.046
