,Budget Per Query,Base_1000Q,Base_5000Q
198,0.00001,0.001,0.0002
199,0.00001,0.001,0.0002
200,0.00001,0.001,0.0002
201,0.00001,0.001,0.0002
202,0.00001,0.001,0.0002
203,0.00001,0.001,0.0002
204,0.00001,0.001,0.0002
205,0.00001,0.001,0.0002
206,0.0005,0.001,0.0002
207,0.0005,0.001,0.0002
208,0.0005,0.001,0.0002
209,0.00001,0.001,0.0002
210,0.00001,0.001,0.0002
211,0.00001,0.001,0.0002
212,0.00001,0.001,0.0002
213,0.00001,0.001,0.0002
214,0.00001,0.001,0.0002
215,0.00001,0.001,0.0002
216,0.0005,0.001,0.0002
217,0.00001,0.001,0.0002
218,0.0005,0.001,0.0002
219,0.00001,0.001,0.0002
220,0.00001,0.001,0.0002
221,0.00001,0.001,0.0002
222,0.00001,0.001,0.0002
223,0.00001,0.001,0.0002
224,0.00001,0.001,0.0002
225,0.00001,0.001,0.0002
226,0.00001,0.001,0.0002
227,0.00001,0.001,0.0002
228,0.00001,0.001,0.0002
229,0.00001,0.001,0.0002
230,0.00001,0.001,0.0002
231,0.001,0.001,0.0002
232,0.00001,0.001,0.0002
233,0.00001,0.001,0.0002
234,0.00001,0.001,0.0002
235,0.00001,0.001,0.0002
236,0.00001,0.001,0.0002
237,0.00001,0.001,0.0002
238,0.00001,0.001,0.0002
239,0.00001,0.001,0.0002
240,0.00001,0.001,0.0002
241,0.00001,0.001,0.0002
242,0.00001,0.001,0.0002
243,0.00001,0.001,0.0002
244,0.00001,0.001,0.0002
245,0.00001,0.001,0.0002
246,0.00001,0.001,0.0002
247,0.00001,0.001,0.0002
248,0.00001,0.001,0.0002
249,0.00001,0.001,0.0002
250,0.0001,0.001,0.0002
251,0.00001,0.001,0.0002
252,0.00001,0.001,0.0002
253,0.00001,0.001,0.0002
254,0.00001,0.001,0.0002
255,0.00001,0.001,0.0002
256,0.00001,0.001,0.0002
257,0.00001,0.001,0.0002
258,0.00001,0.001,0.0002
259,0.00001,0.001,0.0002
260,0.00001,0.001,0.0002
261,0.00001,0.001,0.0002
262,0.00001,0.001,0.0002
263,0.00001,0.001,0.0002
264,0.00001,0.001,0.0002
265,0.00001,0.001,0.0002
266,0.00001,0.001,0.0002
267,0.00001,0.001,0.0002
268,0.00001,0.001,0.0002
