Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR
"G[0,0](ICU_Pt_Days >= 12.577 & y <= 0.806)
",1.121,0.806,-4.140,1.000,0.000,6,27,0,0,6,27,6,27,1.0,1.0,0.0,1.0,1.0,0.0
"G[0,1](lds >= 0.995 & TROPONIN_I >= 0.357)
",0.000,9999999.000,9999999.000,1.000,0.000,2,27,0,4,6,27,2,31,0.3333333333333333,1.0,0.0,1.0,0.8787878787878788,0.12121212121212122
"G[1,2](PCO2 >= 39.500 & y = 0.293)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[1,2](TOTAL_BILIRUBIN <= 0.700 & y = 0.763)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[1,2](s2_edrk > -0.005 -> y = 0.592)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[1,2](CALCIUM > 8.900 & y = 0.555)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[1,2](s24_edrk <= 0.004 -> y = 0.909)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[0,0](cosen < -1.461 & y = 0.695)
",-3.464,-0.695,-0.335,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[0,2](AST_GOT <= 27.000 -> y = 0.284)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[0,2](CO2 <= 26.000 -> y = 0.454)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[0,1](Mort >= 0.072 & y = 0.565)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[0,1](s8_hr <= 0.001 & y <= 0.763)
",0.000,9999999.000,9999999.000,1.000,0.000,3,24,3,3,6,27,6,27,0.5,0.8888888888888888,0.1111111111111111,0.5,0.8181818181818182,0.18181818181818177
"G[0,2](CREATININE < 1.100 & y = 0.695)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[0,1](s8_edrk > -0.003 -> y = 0.191)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[0,1](af < 0.395 -> y = 0.947)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[0,1](Pulse >= 70.122 & Sgy >= 0.245)
",0.000,9999999.000,9999999.000,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
"G[1,1](Glasgow_Coma_Scale_Total <= 14.911 & TROPONIN_I >= 0.436)
",0.211,-0.185,-0.243,1.000,0.000,0,27,0,6,6,27,0,33,0.0,1.0,0.0,0.0,0.8181818181818182,0.18181818181818177
