Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR
"G[0,1](LOS <= 8.964 & n_evts <= 0.983)
",0.000,9999999.000,9999999.000,1.000,0.000,103,14,0,0,103,14,103,14,1.0,1.0,0.0,1.0,1.0,0.0
"G[0,1](SBP >= 80.677 -> tte >= -0.229)
",0.000,9999999.000,9999999.000,1.000,0.000,103,9,5,0,103,14,108,9,1.0,0.6428571428571429,0.35714285714285715,0.9537037037037037,0.9572649572649573,0.042735042735042694
"G[1,1](cosen >= -2.245 -> LOS >= 5.466)
",0.950,-0.534,-3.444,1.000,0.000,103,7,7,0,103,14,110,7,1.0,0.5,0.5,0.9363636363636364,0.9401709401709402,0.05982905982905984
"G[0,0](direct <= 0.250 | O2_Flow >= 2.198)
",0.412,1.041,0.295,1.000,0.000,103,7,7,0,103,14,110,7,1.0,0.5,0.5,0.9363636363636364,0.9401709401709402,0.05982905982905984
"G[0,0](ICU_Pt_Days >= 1.376 -> srr <= 0.069)
",-1.246,-4.624,-2.593,1.000,0.000,102,7,7,1,103,14,109,8,0.9902912621359223,0.5,0.5,0.9357798165137615,0.9316239316239316,0.06837606837606836
"G[1,1](Resp >= 17.967 & SBP >= 98.604)
",0.432,2.641,-3.772,1.000,0.000,103,5,9,0,103,14,112,5,1.0,0.35714285714285715,0.6428571428571429,0.9196428571428571,0.9230769230769231,0.07692307692307687
"G[0,1](Glasgow_Coma_Scale_Total >= 14.877 & MET <= 0.920)
",0.000,9999999.000,9999999.000,1.000,0.000,103,4,10,0,103,14,113,4,1.0,0.2857142857142857,0.7142857142857143,0.911504424778761,0.9145299145299145,0.0854700854700855
"G[0,1](AF >= 0.005 | SBP >= 97.988)
",0.000,9999999.000,9999999.000,1.000,0.000,103,4,10,0,103,14,113,4,1.0,0.2857142857142857,0.7142857142857143,0.911504424778761,0.9145299145299145,0.0854700854700855
"G[0,1](hr >= 94.347 -> Resp >= 17.284)
",0.000,9999999.000,9999999.000,1.000,0.000,103,4,10,0,103,14,113,4,1.0,0.2857142857142857,0.7142857142857143,0.911504424778761,0.9145299145299145,0.0854700854700855
"G[0,1](edrk <= 29.649 -> s24_edrk <= 0.002)
",0.000,9999999.000,9999999.000,1.000,0.000,102,5,9,1,103,14,111,6,0.9902912621359223,0.35714285714285715,0.6428571428571429,0.918918918918919,0.9145299145299145,0.0854700854700855
"G[0,1](O2_Flow <= 3.482 -> s2_edrk >= -0.006)
",0.000,9999999.000,9999999.000,1.000,0.000,103,2,12,0,103,14,115,2,1.0,0.14285714285714285,0.8571428571428571,0.8956521739130435,0.8974358974358975,0.10256410256410253
"G[0,1](death <= 0.472 | LOS >= 3.849)
",0.000,9999999.000,9999999.000,1.000,0.000,103,2,12,0,103,14,115,2,1.0,0.14285714285714285,0.8571428571428571,0.8956521739130435,0.8974358974358975,0.10256410256410253
"G[0,1](hr <= 107.340 | s2_edrk >= -0.004)
",0.000,9999999.000,9999999.000,1.000,0.000,103,2,12,0,103,14,115,2,1.0,0.14285714285714285,0.8571428571428571,0.8956521739130435,0.8974358974358975,0.10256410256410253
"G[0,0](Pulse <= 96.644 | srr <= 0.064)
",-0.506,6.722,13.929,1.000,0.000,103,2,12,0,103,14,115,2,1.0,0.14285714285714285,0.8571428571428571,0.8956521739130435,0.8974358974358975,0.10256410256410253
