,Non Rules
0,"G[0,0](LOS = 0.000)"
1,"((n_evts > 0.000) U[0,0] (y > 0.000))"
2,"((n_evts > 0.000) U[0,0] (y = 0.000))"
3,"((LOS > 0.000) U[0,0] (Mort > 0.000))"
