,Rule,Percent Count
0,"G[1,1](LOS = 122.000)",0.5
1,"((n_evts > 5.000) U[1,1] (y > 0.400))",0.5
2,"((n_evts > 5.000) U[1,1] (y = 1.000))",1.0
3,"((LOS > 122.000) U[1,1] (Mort > 1.000))",1.0
