,Epsilon,Precision,Coverage,Queries
0,0.01,0.887,0.21,1438
1,0.1,0.899,0.601,2200
2,1,0.975,0.697,3001
3,10,0.99,0.923,3561
4,100,1,0.98,3450
5,1000,1,1,3345
6,10000,1,1,3345
