,Epsilon,Precision,Coverage,Queries
0,0.01,0.88,0.08,492
1,0.1,0.97,0.22,720
2,1,0.99,0.63,842
3,10,1,0.74,1104
4,100,1,0.98,4615
5,1000,1,1,4791
6,10000,1,1,4620
