,Epsilon,Precision,Coverage,Queries
0,0.01,0.074,0.02,410.658
1,0.1,0.012,0.07,313.5781669
2,1,0.02,0.052,163.8181192
3,10,0.01,0.02,248.9897949
4,100,0.098,0.01,368.8194302
5,1000,0.069,0.082,350.6640106
6,10000,0.082,0.077,301.5898
