,Epsilon,Precision,Coverage,Queries
0,0.01,0.97,0.462,1438
1,0.1,0.99,0.766,2200
2,1,1,0.854,3001
3,10,1,0.9998,3561
4,100,1,1,3450
5,1000,1,1,3345
6,10000,1,1,3345
