,Epsilon,Precision,Coverage,Queries
0,0.01,0.086,0.07,410.658
1,0.1,0.02,0.085,313.5781669
2,1,0.038,0.041,163.8181192
3,10,0.047,0.065,248.9897949
4,100,0.099,0.069,368.8194302
5,1000,0.012,0.014,350.6640106
6,10000,0.036,0.09,301.5898
