,Epsilon,Precision,Coverage,Queries
0,0.01,0.075,0.013,410.658
1,0.1,0.034,0.055,313.5781669
2,1,0.027,0.033,163.8181192
3,10,0.012,0.064,248.9897949
4,100,0.023,0.02,368.8194302
5,1000,0.067,0.073,350.6640106
6,10000,0.045,0.058,301.5898
