,Epsilon,Precision,Coverage,Queries
0,0.01,1,1,1438
1,0.1,1,1,2200
2,1,1,1,3001
3,10,1,1,3561
4,100,1,1,3450
5,1000,1,1,3345
6,10000,1,1,3345
