,Epsilon,Precision,Coverage,Queries
0,0.01,0.075,0.08,410.658
1,0.1,0.04,0.066,313.5781669
2,1,0.037,0.078,163.8181192
3,10,0.096,0.097,248.9897949
4,100,0.088,0.08,368.8194302
5,1000,0.094,0.049,350.6640106
6,10000,0.021,0.077,301.5898
