,Epsilon,Precision,Coverage
0,0.01,0.063,0.087
1,0.1,0.041,0.079
2,1,0.061,0.033
3,10,0.034,0.014
4,100,0.063,0.086
5,1000,0.059,0.073
6,10000,0.07,0.021
