,V,Accuracy,F1,Accuracy Std,F1 Std,GT_Accuracy,GT_F1,Base1000Q_Accuracy,Base1000Q_F1,Base1000Q_Accuracy_std,Base1000Q_F1_std,Base5000Q_Accuracy,Base5000Q_F1,Base5000Q_Accuracy_std,Base5000Q_F1_std
0,0.001,0.689,0.794,0.031,0.016,0.701,0.802,0.65,0.75,0.048,0.012,0.64,0.7,0.068,0.088
1,0.01,0.802,0.86,0.041,0.064,0.856,0.923,0.65,0.75,0.046,0.066,0.64,0.7,0.1,0.093
2,0.05,0.77,0.789,0.051,0.054,0.81,0.89,0.65,0.75,0.019,0.084,0.64,0.7,0.032,0.056
3,0.1,0.72,0.78,0.065,0.045,0.8,0.88,0.65,0.75,0.081,0.031,0.64,0.7,0.023,0.073
4,0.5,0.69,0.74,0.026,0.082,0.74,0.82,0.57,0.68,0.068,0.052,0.54,0.61,0.088,0.042
