,Epsilon,Accuracy,F1,Accuracy Std,F1 Std
0,0.01,0.7,0.73,0.016,0.079
1,0.1,0.733,0.79,0.054,0.066
2,1,0.802,0.86,0.041,0.064
3,10,0.802,0.877,0.028,0.027
4,100,0.856,0.923,0.046,0.044
5,1000,0.856,0.923,0.021,0.061
6,10000,0.856,0.923,0.018,0.013
