,Cp,Lambda,Epsilon,Total Client Rules,Percentage Found Rules,Found Rules,Non Rules,Rule Precision,Total Client Structures,Percentage Found Structures,Found Structures,Non Structures,Structure Precision,Total Client Rules Std,Percentage Found Rules Std,Found Rules Std,Non Rules Std,Rule Precision Std,Total Client Structures Std,Percentage Found Structures Std,Found Structures Std,Non Structures Std,Structure Precision Std
0,basic,1,1000,553.0,0.04038577456298975,22.333333333333332,18.666666666666668,0.5439153439153439,43.0,0.2713178294573643,11.666666666666666,0.0,1.0,0.0,0.005967145832797868,3.299831645537222,2.494438257849294,0.051210809026721114,0.0,0.06668469199257851,2.8674417556808756,0.0,0.0
1,basic,1,1,553.0,0.02652200120554551,14.666666666666666,28.666666666666668,0.3343283582089552,43.0,0.20930232558139536,9.0,0.0,1.0,0.0,0.019269882294328848,10.656244908763853,18.92675942210452,0.055656204464420926,0.0,0.050238299987657824,2.160246899469287,0.0,0.0
2,basic,0-1,1000,553.0,0.057263411693791434,31.666666666666668,26.0,0.5551412429378532,43.0,0.20930232558139536,9.0,0.0,1.0,0.0,0.0008524494046854098,0.4714045207910317,5.887840577551898,0.060895254244731314,0.0,0.018988292579714558,0.816496580927726,0.0,0.0
3,basic,0-1,1,553.0,0.03375527426160337,18.666666666666668,23.0,0.30327868852459017,43.0,0.12403100775193798,5.333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.024276106769864095,13.424687043734847,14.98888477061141,0.21758654362912072,0.0,0.08770316665879659,3.7712361663282534,0.9428090415820634,0.4714045207910317
4,beta,1,1000,553.0,0.053646775165762516,29.666666666666668,24.666666666666668,0.5427655024946544,43.0,0.2635658914728682,11.333333333333334,0.0,1.0,0.0,0.009830926118324347,5.436502143433363,2.494438257849294,0.04597245474122094,0.0,0.05801019204300686,2.494438257849294,0.0,0.0
5,beta,1,1,553.0,0.007233273056057866,4.0,17.0,0.24273504273504273,43.0,0.22480620155038764,9.666666666666666,0.0,1.0,0.0,0.001476485679796973,0.816496580927726,12.192894105447921,0.08543589059555419,0.0,0.04385158332939829,1.8856180831641267,0.0,0.0
6,beta,0-1,1000,553.0,0.04159132007233273,23.0,22.333333333333332,0.5077496630581279,43.0,0.22480620155038758,9.666666666666666,0.0,1.0,0.0,0.006766107390187959,3.7416573867739413,4.109609335312651,0.07597396088177058,0.0,0.054814479161747864,2.357022603955158,0.0,0.0
7,beta,0-1,1,553.0,0.0012055455093429777,0.6666666666666666,9.333333333333334,0.044444444444444446,43.0,0.06201550387596899,2.6666666666666665,0.3333333333333333,0.6,0.0,0.0017048988093708198,0.9428090415820634,6.649979114420002,0.06285393610547088,0.0,0.04385158332939829,1.8856180831641267,0.4714045207910317,0.43204937989385733
